"","Location_skey","ChargePoint_skey","def_ampere"
"1140",945,6232,16
"1141",946,1745,16
"1142",947,3135,16
"1143",949,4475,16
"1144",949,6114,16
"1145",950,4838,16
"1146",952,3065,16
"1147",953,2768,16
"1148",954,3822,16
"1149",954,3823,16
"1150",955,3445,16
"1151",956,3789,20
"1152",957,1684,16
"1153",958,2183,16
"1154",959,5213,16
"1155",959,5846,16
"1156",961,2818,16
"1157",961,14177,16
"1158",962,5084,16
"1159",963,190,16
"1160",964,3723,20
"1161",965,3085,16
"1162",966,57,16
"1163",968,4082,16
"1164",969,1741,16
"1165",970,1712,16
"1166",971,2826,16
"1167",972,2696,16
"1168",973,1935,16
"1169",974,4830,16
"1170",975,1983,16
"1171",976,3704,16
"1172",977,2660,16
"1173",977,14155,16
"1174",978,1831,16
"1175",979,4562,20
"1176",980,3375,16
"1177",981,322,16
"1178",983,3370,20
"1179",984,2139,16
"1180",985,3057,20
"1181",986,3117,16
"1182",987,4831,16
"1183",988,149,16
"1184",989,3505,16
"1185",990,3997,20
"1186",991,1878,16
"1187",992,324,16
"1188",993,2561,16
"1189",994,3545,16
"1190",995,1666,16
"1191",996,2406,16
"1192",997,4392,16
"1193",997,6136,16
"1194",998,640,16
"1195",998,811,16
"1196",999,4283,16
"1197",999,6160,16
"1198",1000,4866,16
"1199",1001,3028,16
"1200",1002,2182,16
"1201",1003,4801,20
"1202",1004,3956,16
"1203",1005,1758,16
"1204",1006,2761,16
"1205",1007,2344,16
"1206",1008,1618,16
"1207",1009,89,16
"1208",1010,2760,16
"1209",1011,1040,13
"1210",1012,2147,20
"1211",1013,2994,16
"1212",1014,1794,16
"1213",1015,696,16
"1214",1015,885,16
"1215",1016,4723,16
"1216",1017,132,16
"1217",1018,1695,16
"1218",1019,5148,16
"1219",1020,2511,16
"1220",1021,1881,16
"1221",1022,2402,16
"1222",1023,2851,16
"1223",1024,5258,16
"1224",1026,3932,20
"1225",1027,2940,16
"1226",1028,4718,16
"1227",1029,4493,16
"1228",1029,6162,13
"1229",1030,2157,16
"1230",1031,1464,16
"1231",1031,6161,13
"1232",1032,4881,16
"1233",1033,3668,16
"1234",1034,3519,16
"1235",1035,4040,16
"1236",1037,4085,16
"1237",1038,2285,16
"1238",1039,147,16
"1239",1040,3936,16
"1240",1041,3568,16
"1241",1042,4789,16
"1242",1043,4000,16
"1243",1045,587,16
"1244",1045,778,16
"1245",1046,329,16
"1246",1047,2507,16
"1247",1048,1434,16
"1248",1048,6244,16
"1249",1049,1754,16
"1250",1050,3613,16
"1251",1051,3766,20
"1252",1052,3449,20
"1253",1053,2939,16
"1254",1054,3281,20
"1255",1055,566,16
"1256",1055,838,16
"1257",1056,340,16
"1258",1057,1574,16
"1259",1058,4580,16
"1260",1059,76,16
"1261",1061,14455,16
"1262",1063,3475,16
"1263",1064,3687,20
"1264",1065,4390,16
"1265",1065,6191,16
"1266",1066,5000,16
"1267",1067,3678,20
"1268",1068,332,16
"1269",1069,3813,20
"1270",1070,2233,16
"1271",1071,4636,20
"1272",1072,615,16
"1273",1072,842,16
"1274",1073,649,16
"1275",1073,826,16
"1276",1073,5742,16
"1277",1075,3146,16
"1278",1076,2621,16
"1279",1077,4613,16
"1280",1078,2669,16
"1281",1080,263,16
"1282",1080,5744,16
"1283",1081,2227,16
"1284",1082,2520,16
"1285",1083,1035,16
"1286",1083,6189,16
"1287",1084,4412,16
"1288",1084,6302,16
"1289",1085,549,16
"1290",1085,1049,16
"1291",1086,107,16
"1292",1087,1693,16
"1293",1088,55,16
"1294",1089,235,16
"1295",1090,2014,16
"1296",1091,2528,20
"1297",1092,5320,16
"1298",1093,11707,16
"1299",1094,6292,16
"1300",1095,4254,16
"1301",1096,4652,20
"1302",1098,4708,16
"1303",1099,3552,16
"1304",1100,1550,16
"1305",1101,426,16
"1306",1102,20,16
"1307",1103,2744,16
"1308",1104,1922,16
"1309",1105,3577,16
"1310",1106,194,16
